Position	TauxGC
252001	22.900000000000002
253001	24.7
254001	29.4
255001	27.500000000000004
256001	32.2
257001	33.2
258001	28.799999999999997
259001	26.900000000000002
260001	27.6
261001	31.5
262001	32.6
263001	26.6
264001	25.3
265001	26.200000000000003
266001	28.799999999999997
267001	31.4
268001	30.9
269001	22.0
270001	27.900000000000002
271001	26.3
272001	24.5
273001	25.1
274001	24.7
275001	30.7
276001	22.8
277001	28.1
278001	30.5
279001	26.700000000000003
280001	33.1
281001	29.799999999999997
282001	30.8
283001	28.999999999999996
284001	32.4
285001	33.0
286001	31.0
287001	25.8
288001	29.2
289001	28.7
290001	33.4
291001	30.0
292001	33.7
293001	33.7
294001	35.5
295001	26.5
296001	25.3
297001	27.0
298001	31.900000000000002
299001	33.300000000000004
300001	36.1
301001	32.300000000000004
302001	32.0
303001	30.3
304001	30.8
305001	33.1
306001	28.1
307001	32.2
308001	37.1
309001	34.300000000000004
310001	27.3
311001	29.099999999999998
312001	29.2
313001	28.4
314001	27.400000000000002
315001	26.1
316001	22.1
317001	24.3
318001	26.700000000000003
319001	28.000000000000004
320001	26.5
321001	22.8
322001	23.799999999999997
323001	27.0
324001	26.3
325001	28.9
326001	23.200000000000003
327001	22.1
328001	31.0
329001	28.000000000000004
330001	25.7
331001	27.400000000000002
332001	29.7
333001	29.299999999999997
334001	25.5
335001	31.4
336001	30.5
337001	32.1
338001	30.4
339001	29.4
340001	27.400000000000002
341001	30.599999999999998
342001	31.4
343001	31.7
344001	26.200000000000003
345001	36.9
346001	32.800000000000004
347001	28.000000000000004
348001	30.8
349001	32.800000000000004
350001	30.4
351001	28.000000000000004
352001	24.0
353001	26.0
354001	27.200000000000003
355001	23.9
356001	24.6
357001	33.5
358001	25.1
359001	28.799999999999997
360001	25.0
361001	22.0
362001	24.5
363001	22.400000000000002
364001	21.2
365001	24.7
366001	27.800000000000004
367001	30.099999999999998
368001	26.900000000000002
369001	26.200000000000003
370001	32.6
371001	22.1
372001	25.8
373001	30.5
374001	27.900000000000002
375001	32.1
376001	28.999999999999996
377001	24.9
378001	30.4
379001	29.2
380001	31.2
381001	32.9
382001	30.099999999999998
383001	28.799999999999997
384001	24.5
385001	28.1
386001	33.4
387001	28.799999999999997
388001	26.8
389001	31.5
390001	28.999999999999996
391001	26.200000000000003
392001	32.7
393001	32.7
394001	30.2
395001	27.700000000000003
396001	32.0
397001	33.0
398001	31.6
399001	33.4
400001	36.4
401001	34.300000000000004
402001	35.099999999999994
403001	35.9
404001	30.5
405001	33.4
406001	30.5
407001	33.2
408001	31.5
409001	28.499999999999996
410001	21.3
411001	26.700000000000003
412001	28.9
413001	24.9
414001	28.9
415001	32.5
416001	22.8
417001	30.9
418001	28.999999999999996
419001	34.0
420001	37.0
421001	27.6
422001	26.200000000000003
423001	23.599999999999998
424001	22.3
425001	26.5
426001	29.5
427001	28.199999999999996
428001	27.900000000000002
429001	31.2
430001	28.799999999999997
431001	28.000000000000004
432001	27.800000000000004
433001	23.599999999999998
434001	25.2
435001	42.4
436001	44.2
437001	42.199999999999996
438001	40.2
439001	44.7
440001	44.9
441001	30.3
442001	25.8
443001	28.599999999999998
444001	39.300000000000004
445001	45.5
446001	29.7
447001	29.299999999999997
448001	27.1
449001	24.5
450001	22.0
451001	25.1
452001	30.2
453001	30.099999999999998
454001	32.300000000000004
455001	31.5
456001	28.9
457001	28.999999999999996
458001	23.0
459001	27.3
460001	25.3
461001	29.5
462001	30.0
463001	29.099999999999998
464001	32.6
465001	26.8
466001	27.700000000000003
467001	26.900000000000002
468001	32.1
469001	27.3
470001	26.700000000000003
471001	22.400000000000002
472001	28.000000000000004
473001	25.1
474001	26.200000000000003
475001	22.2
476001	27.500000000000004
477001	25.2
478001	27.6
479001	28.499999999999996
480001	27.1
481001	27.1
482001	34.300000000000004
483001	27.0
484001	25.900000000000002
485001	27.3
486001	28.999999999999996
487001	30.0
488001	26.6
489001	25.2
490001	28.7
491001	35.5
492001	22.8
493001	26.400000000000002
494001	21.2
495001	35.3
496001	34.5
497001	32.800000000000004
498001	35.699999999999996
499001	31.900000000000002
500001	36.3
501001	30.8
502001	31.900000000000002
503001	30.9
504001	31.6
505001	30.8
506001	28.999999999999996
507001	33.2
508001	30.599999999999998
509001	29.9
510001	34.8
511001	28.799999999999997
512001	23.799999999999997
513001	28.999999999999996
514001	24.6
515001	29.099999999999998
516001	26.900000000000002
517001	26.0
518001	25.8
519001	27.3
520001	24.8
521001	25.5
522001	26.8
523001	28.7
524001	32.6
525001	29.099999999999998
526001	30.2
527001	28.1
528001	30.8
529001	34.2
530001	35.5
531001	24.8
532001	28.799999999999997
533001	25.3
534001	26.8
535001	24.2
536001	25.5
537001	26.700000000000003
538001	25.6
539001	28.000000000000004
540001	26.3
541001	25.7
542001	28.9
543001	29.7
544001	26.200000000000003
545001	28.199999999999996
546001	26.0
547001	30.599999999999998
548001	27.6
549001	32.7
550001	35.3
551001	31.1
552001	25.6
553001	27.700000000000003
554001	30.8
555001	30.0
556001	26.700000000000003
557001	24.7
558001	28.499999999999996
559001	26.400000000000002
560001	27.500000000000004
561001	25.3
562001	27.200000000000003
563001	29.4
564001	23.5
565001	25.0
566001	22.5
567001	28.4
568001	23.799999999999997
569001	28.999999999999996
570001	33.300000000000004
571001	32.5
572001	28.4
573001	27.400000000000002
574001	31.0
575001	27.1
576001	31.3
577001	26.200000000000003
578001	30.599999999999998
579001	31.7
580001	28.599999999999998
581001	31.7
582001	27.1
583001	26.6
584001	27.500000000000004
585001	26.6
586001	27.1
587001	21.099999999999998
588001	31.4
589001	30.7
590001	24.0
591001	28.199999999999996
592001	29.5
593001	32.6
594001	33.5
595001	26.5
596001	28.299999999999997
597001	31.900000000000002
598001	30.599999999999998
599001	24.5
600001	29.2
601001	26.8
602001	29.9
603001	26.700000000000003
604001	26.0
605001	27.800000000000004
606001	31.3
607001	27.900000000000002
608001	30.7
609001	24.7
610001	25.2
611001	21.8
612001	31.7
613001	32.6
614001	29.5
615001	26.900000000000002
616001	28.199999999999996
617001	27.400000000000002
618001	23.799999999999997
619001	26.6
620001	27.0
621001	27.400000000000002
622001	30.599999999999998
623001	26.5
624001	24.9
625001	34.699999999999996
626001	27.800000000000004
627001	33.5
628001	32.2
629001	29.099999999999998
630001	30.3
631001	27.500000000000004
632001	30.599999999999998
633001	27.700000000000003
634001	27.500000000000004
635001	30.099999999999998
636001	32.300000000000004
637001	27.1
638001	33.900000000000006
639001	31.4
640001	28.299999999999997
641001	33.0
642001	31.1
643001	29.7
644001	25.3
645001	26.6
646001	29.7
647001	26.900000000000002
648001	29.5
649001	29.799999999999997
650001	25.5
651001	30.3
652001	26.5
653001	23.5
654001	26.5
655001	29.2
656001	31.2
657001	29.5
658001	28.199999999999996
659001	30.3
660001	34.300000000000004
661001	27.3
662001	30.7
663001	26.900000000000002
664001	25.0
665001	23.0
666001	23.200000000000003
667001	23.799999999999997
668001	24.6
669001	24.099999999999998
670001	24.0
671001	22.5
672001	30.099999999999998
673001	25.2
674001	28.7
675001	30.7
676001	29.099999999999998
677001	27.6
678001	28.000000000000004
679001	27.400000000000002
680001	30.599999999999998
681001	27.900000000000002
682001	27.1
683001	32.800000000000004
684001	34.4
685001	30.5
686001	24.4
687001	24.5
688001	29.9
689001	35.9
690001	28.9
691001	35.3
692001	28.299999999999997
693001	24.7
694001	25.6
695001	25.1
696001	29.799999999999997
697001	30.2
698001	27.3
699001	35.0
700001	24.9
701001	28.599999999999998
702001	26.6
703001	27.400000000000002
704001	26.6
705001	29.4
706001	30.2
707001	25.7
708001	30.5
709001	27.1
710001	31.2
711001	26.700000000000003
712001	23.1
713001	26.400000000000002
714001	25.7
715001	30.2
716001	29.099999999999998
717001	29.7
718001	29.4
719001	32.1
720001	34.599999999999994
721001	29.4
722001	34.300000000000004
723001	28.599999999999998
724001	31.7
725001	28.599999999999998
726001	31.2
727001	29.299999999999997
728001	30.2
729001	32.5
730001	31.1
731001	28.499999999999996
732001	28.9
733001	29.599999999999998
734001	29.599999999999998
735001	28.999999999999996
736001	31.2
737001	32.4
738001	29.2
739001	25.3
740001	28.7
741001	25.0
742001	25.7
743001	25.8
744001	24.3
745001	28.7
746001	28.9
747001	27.0
748001	30.5
749001	33.0
750001	31.3
751001	26.700000000000003
752001	34.5
753001	30.599999999999998
754001	24.7
755001	32.2
756001	28.1
757001	27.500000000000004
758001	32.9
759001	27.6
760001	23.1
761001	24.3
762001	26.1
763001	30.8
764001	29.599999999999998
765001	30.599999999999998
766001	33.5
767001	30.599999999999998
768001	35.0
769001	27.900000000000002
770001	29.7
771001	24.4
772001	35.8
773001	31.3
774001	28.499999999999996
775001	27.900000000000002
776001	30.7
777001	27.400000000000002
778001	30.0
779001	33.6
780001	28.199999999999996
781001	25.2
782001	23.1
783001	31.7
784001	29.599999999999998
785001	29.099999999999998
786001	26.6
787001	31.3
788001	28.4
789001	28.000000000000004
790001	27.400000000000002
791001	25.4
792001	28.299999999999997
793001	26.700000000000003
794001	25.2
795001	28.9
796001	28.000000000000004
797001	27.400000000000002
798001	30.2
799001	24.7
800001	30.099999999999998
801001	25.5
802001	26.3
803001	26.400000000000002
804001	26.200000000000003
805001	30.9
806001	24.099999999999998
807001	24.099999999999998
808001	28.299999999999997
809001	26.900000000000002
810001	30.3
811001	30.9
812001	26.3
813001	25.900000000000002
814001	25.0
815001	28.299999999999997
816001	33.800000000000004
817001	29.099999999999998
818001	30.599999999999998
819001	33.5
820001	29.4
821001	23.7
822001	26.6
823001	33.4
824001	29.2
825001	25.3
826001	37.8
827001	32.1
828001	23.9
829001	26.5
830001	24.6
831001	24.099999999999998
832001	25.3
833001	23.200000000000003
834001	27.700000000000003
835001	29.5
836001	26.900000000000002
837001	31.4
838001	26.900000000000002
839001	25.5
840001	26.0
841001	30.0
842001	24.4
843001	31.0
844001	34.4
845001	33.5
846001	36.0
847001	27.800000000000004
848001	27.3
849001	34.599999999999994
850001	35.199999999999996
851001	25.8
852001	25.4
853001	23.9
854001	27.900000000000002
855001	30.9
856001	28.9
857001	26.3
858001	28.799999999999997
859001	27.500000000000004
860001	25.6
861001	24.6
862001	28.000000000000004
863001	28.299999999999997
864001	25.6
865001	29.5
866001	26.8
867001	28.000000000000004
868001	30.3
869001	21.3
870001	24.4
871001	29.599999999999998
872001	30.5
873001	27.200000000000003
874001	28.599999999999998
875001	26.8
876001	30.099999999999998
877001	25.0
878001	23.7
879001	32.300000000000004
880001	27.1
881001	27.0
882001	31.7
883001	31.1
884001	26.6
885001	30.3
886001	23.599999999999998
887001	28.299999999999997
888001	27.3
889001	33.6
890001	28.299999999999997
891001	31.8
892001	33.1
893001	29.799999999999997
894001	27.200000000000003
895001	24.5
896001	24.2
897001	27.3
898001	25.900000000000002
899001	24.3
900001	31.0
901001	34.5
902001	33.6
903001	24.9
904001	28.499999999999996
905001	21.099999999999998
906001	21.8
907001	23.599999999999998
908001	23.599999999999998
909001	23.5
910001	16.3
