Position(Kb)	GC Skew
177.0	-16.09
178.0	-15.96
179.0	-16.09
180.0	-13.72
181.0	-11.87
182.0	-9.86
183.0	-8.82
184.0	-10.29
185.0	-12.27
186.0	-13.99
187.0	-16.52
188.0	-16.27
189.0	-14.71
190.0	-12.0
191.0	-10.14
192.0	-8.84
193.0	-7.0
194.0	-6.5
195.0	-7.42
196.0	-8.68
197.0	-8.04
198.0	-8.04
199.0	-9.56
200.0	-9.66
201.0	-8.62
202.0	-7.08
203.0	-6.17
204.0	-6.95
205.0	-9.26
206.0	-9.91
207.0	-10.33
208.0	-10.87
209.0	-9.9
210.0	-11.54
211.0	-12.48
212.0	-14.72
213.0	-15.72
214.0	-14.57
215.0	-13.3
216.0	-14.52
217.0	-14.71
218.0	-14.81
219.0	-13.4
220.0	-11.88
221.0	-13.74
222.0	-14.66
223.0	-16.78
224.0	-18.42
225.0	-18.65
226.0	-18.16
227.0	-18.25
228.0	-17.89
229.0	-17.0
230.0	-18.69
231.0	-18.1
232.0	-15.98
233.0	-14.23
234.0	-14.55
235.0	-14.25
236.0	-13.95
237.0	-13.92
238.0	-12.05
239.0	-10.94
240.0	-9.27
241.0	-8.31
242.0	-5.52
243.0	-3.58
244.0	-2.96
245.0	-1.95
246.0	-1.19
247.0	-4.29
248.0	-7.26
249.0	-8.17
250.0	-9.25
251.0	-8.0
252.0	-6.88
253.0	-7.05
254.0	-8.36
255.0	-9.29
256.0	-10.72
257.0	-13.29
258.0	-16.03
259.0	-18.04
260.0	-17.5
261.0	-18.55
262.0	-17.1
263.0	-16.17
264.0	-16.88
265.0	-18.74
266.0	-21.26
267.0	-23.57
268.0	-24.72
269.0	-25.05
270.0	-25.0
271.0	-24.44
272.0	-24.53
273.0	-23.74
274.0	-22.49
275.0	-23.73
276.0	-23.84
277.0	-24.74
278.0	-25.14
279.0	-25.48
280.0	-24.66
281.0	-23.98
282.0	-23.14
283.0	-23.21
284.0	-23.82
285.0	-24.93
286.0	-25.44
287.0	-25.26
288.0	-26.12
289.0	-26.93
290.0	-27.68
291.0	-28.65
292.0	-28.32
293.0	-28.56
294.0	-28.14
295.0	-28.64
296.0	-28.21
297.0	-27.61
298.0	-27.48
299.0	-26.82
300.0	-26.53
301.0	-26.94
302.0	-27.46
303.0	-27.42
304.0	-27.28
305.0	-26.35
306.0	-25.4
307.0	-24.98
308.0	-24.76
309.0	-24.62
310.0	-24.2
311.0	-24.66
312.0	-25.42
313.0	-25.23
314.0	-22.37
315.0	-21.04
316.0	-20.91
317.0	-20.3
318.0	-20.37
319.0	-20.84
320.0	-20.64
321.0	-19.22
322.0	-16.98
323.0	-16.0
324.0	-13.88
325.0	-12.48
326.0	-10.66
327.0	-8.11
328.0	-6.55
329.0	-7.38
330.0	-7.86
331.0	-4.65
332.0	-3.98
333.0	-3.17
334.0	-3.32
335.0	-3.81
336.0	-5.16
337.0	-8.08
338.0	-8.96
339.0	-10.48
340.0	-11.93
341.0	-12.55
342.0	-13.64
343.0	-13.74
344.0	-13.48
345.0	-14.42
346.0	-16.94
347.0	-17.73
348.0	-17.46
349.0	-16.98
350.0	-16.3
351.0	-17.46
352.0	-16.89
353.0	-16.96
354.0	-17.26
355.0	-15.13
356.0	-14.11
357.0	-14.94
358.0	-16.04
359.0	-16.44
360.0	-13.63
361.0	-12.05
362.0	-12.78
363.0	-14.84
364.0	-15.38
365.0	-16.37
366.0	-15.21
367.0	-16.12
368.0	-15.84
369.0	-16.07
370.0	-16.25
371.0	-15.98
372.0	-15.18
373.0	-14.71
374.0	-15.82
375.0	-17.36
376.0	-19.24
377.0	-18.82
378.0	-18.39
379.0	-18.37
380.0	-18.64
381.0	-19.76
382.0	-19.95
383.0	-20.21
384.0	-21.02
385.0	-22.95
386.0	-23.94
387.0	-26.01
388.0	-27.04
389.0	-26.63
390.0	-27.11
391.0	-27.77
392.0	-28.2
393.0	-28.07
394.0	-27.97
395.0	-27.64
396.0	-27.09
397.0	-26.19
398.0	-26.23
399.0	-25.08
400.0	-24.48
401.0	-25.59
402.0	-24.97
403.0	-22.3
404.0	-22.26
405.0	-21.37
406.0	-21.43
407.0	-20.77
408.0	-18.55
409.0	-18.26
410.0	-17.38
411.0	-16.26
412.0	-14.46
413.0	-13.19
414.0	-11.88
415.0	-10.62
416.0	-10.22
417.0	-10.75
418.0	-14.22
419.0	-14.73
420.0	-15.29
421.0	-14.47
422.0	-14.97
423.0	-17.01
424.0	-17.22
425.0	-17.86
426.0	-19.22
427.0	-21.15
428.0	-22.4
429.0	-23.61
430.0	-24.26
431.0	-24.16
432.0	-24.48
433.0	-24.16
434.0	-23.77
435.0	-22.81
436.0	-22.21
437.0	-22.2
438.0	-22.82
439.0	-23.29
440.0	-23.26
441.0	-23.38
442.0	-23.36
443.0	-21.74
444.0	-20.31
445.0	-17.2
446.0	-13.36
447.0	-9.18
448.0	-4.23
449.0	-1.53
450.0	1.01
451.0	2.3
452.0	3.67
453.0	5.91
454.0	8.43
455.0	10.16
456.0	12.7
457.0	14.99
458.0	16.52
459.0	15.93
460.0	14.89
461.0	14.35
462.0	13.01
463.0	10.0
464.0	10.61
465.0	9.9
466.0	9.56
467.0	10.78
468.0	12.35
469.0	13.58
470.0	16.12
471.0	18.14
472.0	19.9
473.0	20.34
474.0	21.85
475.0	23.02
476.0	23.65
477.0	25.18
478.0	27.21
479.0	26.39
480.0	26.73
481.0	27.16
482.0	28.18
483.0	29.47
484.0	29.78
485.0	29.06
486.0	29.06
487.0	30.13
488.0	30.73
489.0	31.64
490.0	31.8
491.0	31.08
492.0	30.55
493.0	30.26
494.0	31.04
495.0	31.57
496.0	32.29
497.0	31.69
498.0	31.02
499.0	31.41
500.0	31.23
501.0	30.57
502.0	29.42
503.0	29.84
504.0	29.25
505.0	29.19
506.0	30.08
507.0	30.97
508.0	31.83
509.0	31.23
510.0	30.62
511.0	29.84
512.0	30.18
513.0	30.18
514.0	26.74
515.0	24.21
516.0	21.67
517.0	19.57
518.0	18.43
519.0	18.24
520.0	17.55
521.0	16.88
522.0	16.04
523.0	14.54
524.0	13.59
525.0	10.95
526.0	9.65
527.0	8.72
528.0	8.37
529.0	11.97
530.0	14.56
531.0	17.39
532.0	19.43
533.0	18.16
534.0	15.47
535.0	13.43
536.0	10.97
537.0	9.38
538.0	9.85
539.0	11.08
540.0	13.09
541.0	15.02
542.0	15.85
543.0	15.64
544.0	12.67
545.0	11.46
546.0	9.88
547.0	7.32
548.0	8.55
549.0	11.54
550.0	12.51
551.0	14.22
552.0	16.22
553.0	16.4
554.0	15.99
555.0	17.06
556.0	16.4
557.0	16.51
558.0	15.41
559.0	15.62
560.0	17.33
561.0	16.87
562.0	16.53
563.0	16.57
564.0	16.62
565.0	17.56
566.0	19.13
567.0	18.41
568.0	17.76
569.0	18.46
570.0	15.87
571.0	16.23
572.0	15.36
573.0	16.65
574.0	18.7
575.0	18.46
576.0	20.51
577.0	23.55
578.0	23.39
579.0	22.9
580.0	22.34
581.0	22.28
582.0	22.99
583.0	22.68
584.0	22.33
585.0	23.09
586.0	23.05
587.0	22.81
588.0	22.39
589.0	21.55
590.0	20.36
591.0	18.61
592.0	16.75
593.0	17.19
594.0	17.1
595.0	16.65
596.0	16.16
597.0	15.9
598.0	17.02
599.0	17.42
600.0	16.45
601.0	14.61
602.0	14.42
603.0	14.01
604.0	14.22
605.0	14.54
606.0	15.96
607.0	15.65
608.0	15.58
609.0	15.3
610.0	16.41
611.0	15.97
612.0	16.02
613.0	14.23
614.0	11.94
615.0	13.08
616.0	12.98
617.0	14.28
618.0	15.05
619.0	15.72
620.0	16.67
621.0	17.12
622.0	18.53
623.0	19.01
624.0	19.28
625.0	19.46
626.0	19.7
627.0	19.91
628.0	20.46
629.0	20.95
630.0	20.77
631.0	21.47
632.0	21.49
633.0	21.11
634.0	19.98
635.0	18.15
636.0	16.47
637.0	14.77
638.0	11.95
639.0	10.56
640.0	9.71
641.0	9.19
642.0	9.28
643.0	7.89
644.0	7.94
645.0	8.13
646.0	6.89
647.0	5.39
648.0	5.9
649.0	5.0
650.0	5.77
651.0	5.68
652.0	6.48
653.0	7.27
654.0	7.52
655.0	6.88
656.0	5.2
657.0	4.18
658.0	4.27
659.0	5.11
660.0	6.15
661.0	7.85
662.0	8.99
663.0	9.03
664.0	9.39
665.0	9.34
666.0	8.81
667.0	8.19
668.0	8.49
669.0	9.38
670.0	10.49
671.0	11.37
672.0	11.25
673.0	12.57
674.0	12.73
675.0	13.34
676.0	15.08
677.0	15.18
678.0	15.81
679.0	16.63
680.0	16.52
681.0	17.39
682.0	19.12
683.0	19.28
684.0	17.85
685.0	16.03
686.0	15.64
687.0	16.5
688.0	16.21
689.0	16.42
690.0	15.96
691.0	15.25
692.0	15.18
693.0	15.37
694.0	16.29
695.0	17.2
696.0	19.54
697.0	19.42
698.0	19.34
699.0	20.27
700.0	20.85
701.0	23.21
702.0	23.25
703.0	23.82
704.0	23.47
705.0	23.0
706.0	22.91
707.0	23.0
708.0	22.37
709.0	20.38
710.0	19.49
711.0	18.84
712.0	19.97
713.0	20.85
714.0	21.69
715.0	23.15
716.0	21.78
717.0	21.68
718.0	22.15
719.0	22.97
720.0	23.73
721.0	23.76
722.0	24.5
723.0	25.38
724.0	28.21
725.0	29.83
726.0	30.29
727.0	29.76
728.0	28.95
729.0	29.02
730.0	28.92
731.0	29.89
732.0	29.2
733.0	29.83
734.0	30.83
735.0	30.16
736.0	30.26
737.0	29.7
738.0	29.44
739.0	27.93
740.0	26.38
741.0	25.67
742.0	25.65
743.0	26.09
744.0	25.65
745.0	25.89
746.0	25.22
747.0	25.71
748.0	24.64
749.0	22.84
750.0	23.12
751.0	23.55
752.0	22.54
753.0	19.9
754.0	18.83
755.0	18.01
756.0	15.57
757.0	13.19
758.0	11.52
759.0	9.7
760.0	9.16
761.0	10.09
762.0	8.89
763.0	8.75
764.0	9.21
765.0	9.74
766.0	8.51
767.0	8.83
768.0	9.37
769.0	10.2
770.0	11.87
771.0	14.36
772.0	16.98
773.0	19.62
774.0	21.68
775.0	21.17
776.0	19.82
777.0	21.41
778.0	22.19
779.0	21.68
780.0	19.17
781.0	17.62
782.0	17.4
783.0	16.82
784.0	14.82
785.0	13.72
786.0	12.77
787.0	12.3
788.0	10.01
789.0	8.79
790.0	8.24
791.0	6.34
792.0	4.96
793.0	3.78
794.0	2.39
795.0	2.6
796.0	2.98
797.0	0.95
798.0	2.04
799.0	2.58
800.0	2.36
801.0	1.43
802.0	-0.6
803.0	0.79
804.0	2.69
805.0	5.93
806.0	8.79
807.0	10.4
808.0	12.18
809.0	14.18
810.0	16.1
811.0	18.05
812.0	20.67
813.0	21.21
814.0	23.02
815.0	24.41
816.0	25.51
817.0	27.08
818.0	27.7
819.0	26.42
820.0	24.66
821.0	25.16
822.0	25.88
823.0	24.73
824.0	24.28
825.0	23.84
826.0	23.24
827.0	22.79
828.0	24.17
829.0	24.27
830.0	25.19
831.0	24.54
832.0	25.78
833.0	25.66
834.0	27.17
835.0	27.13
836.0	27.7
837.0	27.43
838.0	27.08
839.0	26.72
840.0	27.12
841.0	27.07
842.0	26.44
843.0	25.33
844.0	24.6
845.0	22.69
846.0	23.32
847.0	22.05
848.0	21.61
849.0	20.7
850.0	20.86
851.0	20.54
852.0	19.85
853.0	19.73
854.0	19.04
855.0	18.18
856.0	16.71
857.0	16.11
858.0	14.73
859.0	13.65
860.0	13.15
861.0	12.97
862.0	13.69
863.0	14.42
864.0	14.53
865.0	14.9
866.0	13.87
867.0	12.21
868.0	10.88
869.0	9.75
870.0	8.75
871.0	8.37
872.0	7.83
873.0	8.25
874.0	8.84
875.0	10.44
876.0	11.36
877.0	10.83
878.0	10.97
879.0	10.79
880.0	10.03
881.0	9.03
882.0	9.78
883.0	9.56
884.0	10.95
885.0	12.99
886.0	15.23
887.0	17.98
888.0	19.29
889.0	19.4
890.0	16.16
891.0	15.2
892.0	15.57
893.0	14.22
894.0	14.14
895.0	14.71
896.0	15.39
